model,horizon,feature,abs_shap
lightgbm,1,work_construction_yoy_lag1,0.03271981855537285
lightgbm,1,m2_aggregate_yoy_lag1,0.03157016802482827
lightgbm,1,rolling_mean_lag3_window_size3,0.03104526354452548
lightgbm,1,euro_rub_yoy_lag1,0.030445453561341013
lightgbm,1,nominal_wages_yoy_lag1,0.028772742626852366
lightgbm,1,price_natural_gas_yoy_lag1,0.027216139132428468
lightgbm,1,gov_income_oil_yoy_lag1,0.027004412804008063
lightgbm,1,lag3,0.026684226117842342
lightgbm,1,year,0.024764366103646556
lightgbm,1,lag12,0.023398197070451026
lightgbm,1,gov_income_nonoil_yoy_lag1,0.021740650888984168
lightgbm,1,gov_expenses_all_yoy_lag1,0.019517942005744828
lightgbm,1,freight_yoy_lag1,0.014445579542652237
lightgbm,1,usd_rub_yoy_lag1,0.014012935361229743
lightgbm,1,gov_debt_external_yoy_lag1,0.012736562806894365
lightgbm,1,gov_debt_internal_yoy_lag1,0.0126749145083742
lightgbm,1,fao_index_yoy_lag1,0.011168018613628365
lightgbm,1,pce_index_yoy_lag1,0.008718191709541646
lightgbm,1,volume_services_yoy_lag1,0.006605137003990881
lightgbm,1,price_oil_brent_yoy_lag1,0.005815214134067294
lightgbm,1,seasonal_rolling_mean_lag12_season_length12_window_size2,0.004967502584148201
lightgbm,1,initialize_building_yoy_lag1,0.0039383859389463495
lightgbm,1,rolling_mean_lag6_window_size2,0.003351055815936196
lightgbm,1,rolling_mean_lag12_window_size2,0.002602740959353839
lightgbm,1,rolling_mean_lag1_window_size3,0.0017125515626169633
lightgbm,1,hicp_index_yoy_lag1,0.0006655611720736806
lightgbm,1,quarter,1.0112548974070386e-05
lightgbm,1,lag1,0.0
random_forest,1,cpi_yoy_lag1,1.0008006258029563
random_forest,1,lag1,0.9776114985902132
random_forest,1,miacr_yoy_lag1,0.49589070889888925
random_forest,1,ruonia_yoy_lag1,0.21721598072449802
random_forest,1,exponentially_weighted_mean_lag1_alpha0.5,0.11090055864650451
random_forest,1,yc_10_yoy_lag1,0.06439946121450527
random_forest,1,yc_025_yoy_lag1,0.0613384018337341
random_forest,1,rolling_mean_lag1_window_size3,0.0609519537940621
random_forest,1,initialize_building_yoy_lag1,0.043084029169404174
random_forest,1,price_natural_gas_yoy_lag1,0.03617949506256374
random_forest,1,nominal_credit_yoy_lag1,0.03544340384300274
random_forest,1,lag2,0.030111086715634644
random_forest,1,m2_aggregate_yoy_lag1,0.022100598980122416
random_forest,1,rolling_mean_lag12_window_size2,0.019770347333757272
random_forest,1,pce_index_yoy_lag1,0.0193816480805292
random_forest,1,lag12,0.019206433872522643
random_forest,1,month,0.015335296730038752
random_forest,1,gov_debt_external_yoy_lag1,0.01356176466288824
random_forest,1,fao_index_yoy_lag1,0.012812467056947855
