combination,horizon,rmse,mae,n_obs
inverse_rmse,1,1.0048457113258815,0.8245479002770265,24
model_confidence_set,1,0.425427577000835,0.34238656078720986,24
simple_average,1,1.0764728663067193,0.8862431486686221,24
